Step 0:    (2022-05-08 19:08:00.686273)
Step 8600:    (2022-05-09 00:47:10.033352)
    training nat accuracy 96.0%
    training adv accuracy 54.0%
    54.37104367772779 examples per second
Step 8700:    (2022-05-09 00:48:42.476803)
    training nat accuracy 96.0%
    training adv accuracy 48.0%
    54.106213350915986 examples per second
Step 8800:    (2022-05-09 00:50:03.720422)
    training nat accuracy 98.0%
    training adv accuracy 38.0%
    61.68861267549377 examples per second
Step 8900:    (2022-05-09 00:51:34.882907)
    training nat accuracy 92.0%
    training adv accuracy 42.0%
    54.866413025176314 examples per second
Step 9000:    (2022-05-09 00:53:07.470217)
    training nat accuracy 88.0%
    training adv accuracy 42.0%
    54.021580178961585 examples per second
Step 9100:    (2022-05-09 00:54:32.117607)
    training nat accuracy 90.0%
    training adv accuracy 52.0%
    59.14032917497385 examples per second
Step 9200:    (2022-05-09 00:56:03.836841)
    training nat accuracy 94.0%
    training adv accuracy 48.0%
    54.53235993722505 examples per second
Step 9300:    (2022-05-09 00:57:36.320554)
    training nat accuracy 98.0%
    training adv accuracy 46.0%
    54.081865763078234 examples per second
Step 9400:    (2022-05-09 00:58:58.544058)
    training nat accuracy 88.0%
    training adv accuracy 40.0%
    60.90057333068652 examples per second
Step 9500:    (2022-05-09 01:00:30.003392)
    training nat accuracy 94.0%
    training adv accuracy 52.0%
    54.6878665038895 examples per second
Step 9600:    (2022-05-09 01:02:02.270165)
    training nat accuracy 92.0%
    training adv accuracy 50.0%
    54.20937583340377 examples per second
Step 9700:    (2022-05-09 01:03:26.264219)
    training nat accuracy 96.0%
    training adv accuracy 52.0%
    59.61536902924491 examples per second
Step 9800:    (2022-05-09 01:04:57.674569)
    training nat accuracy 90.0%
    training adv accuracy 36.0%
    54.7147167084 examples per second
Step 9900:    (2022-05-09 01:06:30.045897)
    training nat accuracy 94.0%
    training adv accuracy 42.0%
    54.18821970542455 examples per second
Step 10000:    (2022-05-09 01:07:51.914001)
    training nat accuracy 96.0%
    training adv accuracy 50.0%
    61.16881407452709 examples per second
Step 10100:    (2022-05-09 01:09:22.998735)
    training nat accuracy 98.0%
    training adv accuracy 42.0%
    54.91223764257906 examples per second
Step 10200:    (2022-05-09 01:10:55.519687)
    training nat accuracy 96.0%
    training adv accuracy 52.0%
    54.06068113363107 examples per second
Step 10300:    (2022-05-09 01:12:20.448353)
    training nat accuracy 90.0%
    training adv accuracy 44.0%
    58.962728001390865 examples per second
Step 10400:    (2022-05-09 01:13:52.579132)
    training nat accuracy 98.0%
    training adv accuracy 66.0%
    54.2870996926325 examples per second
Step 10500:    (2022-05-09 01:15:25.232862)
    training nat accuracy 100.0%
    training adv accuracy 38.0%
    53.98274871629105 examples per second
Step 10600:    (2022-05-09 01:16:48.063244)
    training nat accuracy 96.0%
    training adv accuracy 50.0%
    60.44947349314673 examples per second
Step 10700:    (2022-05-09 01:18:19.632043)
    training nat accuracy 94.0%
    training adv accuracy 46.0%
    54.62224138373872 examples per second
Step 10800:    (2022-05-09 01:19:52.462991)
    training nat accuracy 92.0%
    training adv accuracy 44.0%
    53.87990141023533 examples per second
Step 10900:    (2022-05-09 01:21:17.251098)
    training nat accuracy 94.0%
    training adv accuracy 46.0%
    59.06139382814174 examples per second
Step 11000:    (2022-05-09 01:22:49.575755)
    training nat accuracy 92.0%
    training adv accuracy 48.0%
    54.215685312257904 examples per second
Step 11100:    (2022-05-09 01:24:22.396980)
    training nat accuracy 88.0%
    training adv accuracy 32.0%
    53.884950245782555 examples per second
Step 11200:    (2022-05-09 01:25:44.743731)
    training nat accuracy 94.0%
    training adv accuracy 46.0%
    60.80623949157841 examples per second
Step 11300:    (2022-05-09 01:27:17.082703)
    training nat accuracy 92.0%
    training adv accuracy 38.0%
    54.16731827365249 examples per second
Step 11400:    (2022-05-09 01:28:50.375206)
    training nat accuracy 94.0%
    training adv accuracy 44.0%
    53.61341172457022 examples per second
Step 11500:    (2022-05-09 01:30:14.225232)
    training nat accuracy 94.0%
    training adv accuracy 42.0%
    59.722549740216294 examples per second
Step 11600:    (2022-05-09 01:31:45.920907)
    training nat accuracy 96.0%
    training adv accuracy 48.0%
    54.54680943460162 examples per second
Step 11700:    (2022-05-09 01:33:19.214623)
    training nat accuracy 96.0%
    training adv accuracy 40.0%
    53.61291748873653 examples per second
Step 11800:    (2022-05-09 01:34:42.373381)
    training nat accuracy 92.0%
    training adv accuracy 44.0%
    60.222664345813165 examples per second
Step 11900:    (2022-05-09 01:36:13.902243)
    training nat accuracy 96.0%
    training adv accuracy 42.0%
    54.64609110800314 examples per second
Step 12000:    (2022-05-09 01:37:46.917452)
    training nat accuracy 96.0%
    training adv accuracy 42.0%
    53.773210575518156 examples per second
Step 12100:    (2022-05-09 01:39:09.244692)
    training nat accuracy 92.0%
    training adv accuracy 50.0%
    60.88127951989654 examples per second
Step 12200:    (2022-05-09 01:40:40.562599)
    training nat accuracy 92.0%
    training adv accuracy 52.0%
    54.77288171242886 examples per second
Step 12300:    (2022-05-09 01:42:13.269967)
    training nat accuracy 92.0%
    training adv accuracy 26.0%
    53.9515051271349 examples per second
Step 12400:    (2022-05-09 01:43:36.623824)
    training nat accuracy 92.0%
    training adv accuracy 42.0%
    60.058204043405226 examples per second
Step 12500:    (2022-05-09 01:45:08.115662)
    training nat accuracy 96.0%
    training adv accuracy 62.0%
    54.667934161721654 examples per second
Step 12600:    (2022-05-09 01:46:41.019223)
    training nat accuracy 90.0%
    training adv accuracy 42.0%
    53.83830079033079 examples per second
Step 12700:    (2022-05-09 01:48:04.963472)
    training nat accuracy 98.0%
    training adv accuracy 36.0%
    59.655491329754724 examples per second
Step 12800:    (2022-05-09 01:49:36.146047)
    training nat accuracy 94.0%
    training adv accuracy 48.0%
    54.85746633261085 examples per second
Step 12900:    (2022-05-09 01:51:09.315929)
    training nat accuracy 98.0%
    training adv accuracy 46.0%
    53.68447329410726 examples per second
Step 13000:    (2022-05-09 01:52:33.457300)
    training nat accuracy 94.0%
    training adv accuracy 40.0%
    59.51259093609242 examples per second
Step 13100:    (2022-05-09 01:54:03.955278)
    training nat accuracy 94.0%
    training adv accuracy 46.0%
    55.26906136062095 examples per second
Step 13200:    (2022-05-09 01:55:35.475280)
    training nat accuracy 96.0%
    training adv accuracy 48.0%
    54.69347646292414 examples per second
Step 13300:    (2022-05-09 01:56:57.434645)
    training nat accuracy 96.0%
    training adv accuracy 44.0%
    61.1070082090328 examples per second
Step 13400:    (2022-05-09 01:58:29.455701)
    training nat accuracy 96.0%
    training adv accuracy 58.0%
    54.353501342055665 examples per second
Step 13500:    (2022-05-09 02:00:01.814556)
    training nat accuracy 98.0%
    training adv accuracy 46.0%
    54.155522555247536 examples per second
Step 13600:    (2022-05-09 02:01:24.231311)
    training nat accuracy 98.0%
    training adv accuracy 40.0%
    60.761410642527245 examples per second
Step 13700:    (2022-05-09 02:02:54.680879)
    training nat accuracy 96.0%
    training adv accuracy 60.0%
    55.30014887007912 examples per second
Step 13800:    (2022-05-09 02:04:27.122336)
    training nat accuracy 96.0%
    training adv accuracy 50.0%
    54.10759785582682 examples per second
Step 13900:    (2022-05-09 02:05:51.555168)
    training nat accuracy 96.0%
    training adv accuracy 34.0%
    59.30955119930672 examples per second
Step 14000:    (2022-05-09 02:07:23.403066)
    training nat accuracy 92.0%
    training adv accuracy 52.0%
    54.457579886136834 examples per second
Step 14100:    (2022-05-09 02:08:55.660597)
    training nat accuracy 94.0%
    training adv accuracy 50.0%
    54.21464338842145 examples per second
Step 14200:    (2022-05-09 02:10:16.879915)
    training nat accuracy 98.0%
    training adv accuracy 54.0%
    61.65619283809284 examples per second
Step 14300:    (2022-05-09 02:11:46.752069)
    training nat accuracy 98.0%
    training adv accuracy 54.0%
    55.6944633231483 examples per second
Step 14400:    (2022-05-09 02:13:18.997199)
    training nat accuracy 94.0%
    training adv accuracy 46.0%
    54.2222322735248 examples per second
Step 14500:    (2022-05-09 02:14:42.707558)
    training nat accuracy 86.0%
    training adv accuracy 52.0%
    59.80421528831437 examples per second
Step 14600:    (2022-05-09 02:16:14.381837)
    training nat accuracy 96.0%
    training adv accuracy 62.0%
    54.56025815413381 examples per second
Step 14700:    (2022-05-09 02:17:46.618048)
    training nat accuracy 92.0%
    training adv accuracy 42.0%
    54.227390605010385 examples per second
Step 14800:    (2022-05-09 02:19:08.041727)
    training nat accuracy 94.0%
    training adv accuracy 54.0%
    61.50912749038167 examples per second
Step 14900:    (2022-05-09 02:20:39.413736)
    training nat accuracy 96.0%
    training adv accuracy 48.0%
    54.7404763718602 examples per second
Step 15000:    (2022-05-09 02:22:11.628659)
    training nat accuracy 94.0%
    training adv accuracy 52.0%
    54.23984059406201 examples per second
Step 15100:    (2022-05-09 02:23:33.780179)
    training nat accuracy 94.0%
    training adv accuracy 56.0%
    60.961716877303544 examples per second
Step 15200:    (2022-05-09 02:25:04.902615)
    training nat accuracy 94.0%
    training adv accuracy 40.0%
    54.89002281056193 examples per second
Step 15300:    (2022-05-09 02:26:36.652065)
    training nat accuracy 98.0%
    training adv accuracy 60.0%
    54.515528718357494 examples per second
Step 15400:    (2022-05-09 02:27:59.527579)
    training nat accuracy 92.0%
    training adv accuracy 48.0%
    60.47999472644271 examples per second
Step 15500:    (2022-05-09 02:29:30.015206)
    training nat accuracy 94.0%
    training adv accuracy 48.0%
    55.27375118263317 examples per second
Step 15600:    (2022-05-09 02:31:01.861524)
    training nat accuracy 96.0%
    training adv accuracy 58.0%
    54.457214440478054 examples per second
Step 15700:    (2022-05-09 02:32:24.344211)
    training nat accuracy 94.0%
    training adv accuracy 48.0%
    60.715735434939496 examples per second
Step 15800:    (2022-05-09 02:33:55.294007)
    training nat accuracy 94.0%
    training adv accuracy 42.0%
    54.995399540974546 examples per second
Step 15900:    (2022-05-09 02:35:27.458861)
    training nat accuracy 98.0%
    training adv accuracy 52.0%
    54.26907017747379 examples per second
Step 16000:    (2022-05-09 02:36:50.712790)
    training nat accuracy 92.0%
    training adv accuracy 46.0%
    60.14720719749428 examples per second
Step 16100:    (2022-05-09 02:38:22.164696)
    training nat accuracy 92.0%
    training adv accuracy 60.0%
    54.69332103416655 examples per second
Step 16200:    (2022-05-09 02:39:54.783136)
    training nat accuracy 100.0%
    training adv accuracy 60.0%
    54.0035097164304 examples per second
Step 16300:    (2022-05-09 02:41:17.629271)
    training nat accuracy 92.0%
    training adv accuracy 48.0%
    60.430664893966394 examples per second
Step 16400:    (2022-05-09 02:42:48.539562)
    training nat accuracy 98.0%
    training adv accuracy 52.0%
    55.01938772375307 examples per second
Step 16500:    (2022-05-09 02:44:21.206869)
    training nat accuracy 92.0%
    training adv accuracy 52.0%
    54.01202057333411 examples per second
Step 16600:    (2022-05-09 02:45:43.877586)
    training nat accuracy 92.0%
    training adv accuracy 36.0%
    60.57463161674475 examples per second
Step 16700:    (2022-05-09 02:47:14.722313)
    training nat accuracy 92.0%
    training adv accuracy 48.0%
    55.058316805935206 examples per second
Step 16800:    (2022-05-09 02:48:47.373934)
    training nat accuracy 98.0%
    training adv accuracy 64.0%
    53.98466087802527 examples per second
Step 16900:    (2022-05-09 02:50:10.993419)
    training nat accuracy 98.0%
    training adv accuracy 58.0%
    59.87322801101822 examples per second
Step 17000:    (2022-05-09 02:51:42.067104)
    training nat accuracy 96.0%
    training adv accuracy 66.0%
    54.91891138878272 examples per second
Step 17100:    (2022-05-09 02:53:14.476191)
    training nat accuracy 90.0%
    training adv accuracy 48.0%
    54.12647318654856 examples per second
Step 17200:    (2022-05-09 02:54:38.140810)
    training nat accuracy 98.0%
    training adv accuracy 62.0%
    59.86232934246562 examples per second
Step 17300:    (2022-05-09 02:56:08.603751)
    training nat accuracy 98.0%
    training adv accuracy 60.0%
    55.288957314825076 examples per second
Step 17400:    (2022-05-09 02:57:40.820855)
    training nat accuracy 90.0%
    training adv accuracy 62.0%
    54.23867044160883 examples per second
Step 17500:    (2022-05-09 02:59:05.664249)
    training nat accuracy 98.0%
    training adv accuracy 62.0%
    59.026645701588166 examples per second
Step 17600:    (2022-05-09 03:00:37.214519)
    training nat accuracy 94.0%
    training adv accuracy 50.0%
    54.674553925787386 examples per second
Step 17700:    (2022-05-09 03:02:09.639802)
    training nat accuracy 94.0%
    training adv accuracy 62.0%
    54.11613423895778 examples per second
Step 17800:    (2022-05-09 03:03:33.247279)
    training nat accuracy 96.0%
    training adv accuracy 64.0%
    59.897025360379416 examples per second
Step 17900:    (2022-05-09 03:05:04.193278)
    training nat accuracy 92.0%
    training adv accuracy 58.0%
    54.99596964362177 examples per second
Step 18000:    (2022-05-09 03:06:36.820835)
    training nat accuracy 96.0%
    training adv accuracy 64.0%
    53.99791086450861 examples per second
Step 18100:    (2022-05-09 03:07:58.703647)
    training nat accuracy 90.0%
    training adv accuracy 54.0%
    61.15683815760982 examples per second
Step 18200:    (2022-05-09 03:09:29.445989)
    training nat accuracy 90.0%
    training adv accuracy 50.0%
    55.12057037186792 examples per second
Step 18300:    (2022-05-09 03:11:02.056713)
    training nat accuracy 96.0%
    training adv accuracy 64.0%
    54.008334720839855 examples per second
Step 18400:    (2022-05-09 03:12:24.504256)
    training nat accuracy 94.0%
    training adv accuracy 62.0%
    60.73665443543835 examples per second
Step 18500:    (2022-05-09 03:13:54.352075)
    training nat accuracy 94.0%
    training adv accuracy 62.0%
    55.6677158554131 examples per second
Step 18600:    (2022-05-09 03:15:26.764128)
    training nat accuracy 98.0%
    training adv accuracy 66.0%
    54.1241865996858 examples per second
Step 18700:    (2022-05-09 03:16:50.719983)
    training nat accuracy 92.0%
    training adv accuracy 58.0%
    59.68663734848865 examples per second
Step 18800:    (2022-05-09 03:18:22.086546)
    training nat accuracy 98.0%
    training adv accuracy 72.0%
    54.744420975422145 examples per second
Step 18900:    (2022-05-09 03:19:54.532628)
    training nat accuracy 92.0%
    training adv accuracy 56.0%
    54.104299665282426 examples per second
Step 19000:    (2022-05-09 03:21:18.633778)
    training nat accuracy 98.0%
    training adv accuracy 68.0%
    59.54553142489431 examples per second
Step 19100:    (2022-05-09 03:22:49.805425)
    training nat accuracy 92.0%
    training adv accuracy 54.0%
    54.86025160200247 examples per second
Step 19200:    (2022-05-09 03:24:22.114957)
    training nat accuracy 98.0%
    training adv accuracy 52.0%
    54.184158303093966 examples per second
Step 19300:    (2022-05-09 03:25:45.364594)
    training nat accuracy 94.0%
    training adv accuracy 56.0%
    60.144940966867615 examples per second
Step 19400:    (2022-05-09 03:27:16.961972)
    training nat accuracy 96.0%
    training adv accuracy 64.0%
    54.60300231159905 examples per second
Step 19500:    (2022-05-09 03:28:49.368089)
    training nat accuracy 94.0%
    training adv accuracy 60.0%
    54.127869064495606 examples per second
Step 19600:    (2022-05-09 03:30:14.339786)
    training nat accuracy 98.0%
    training adv accuracy 68.0%
    58.925907389259066 examples per second
Step 19700:    (2022-05-09 03:31:46.564212)
    training nat accuracy 96.0%
    training adv accuracy 66.0%
    54.23428144181729 examples per second
Step 19800:    (2022-05-09 03:33:18.979522)
    training nat accuracy 100.0%
    training adv accuracy 78.0%
    54.161585176619305 examples per second
Step 19900:    (2022-05-09 03:34:43.602597)
    training nat accuracy 100.0%
    training adv accuracy 74.0%
    59.17600952192988 examples per second
Step 20000:    (2022-05-09 03:36:14.992202)
    training nat accuracy 92.0%
    training adv accuracy 60.0%
    54.73045658935344 examples per second
Step 20100:    (2022-05-09 03:37:47.464218)
    training nat accuracy 98.0%
    training adv accuracy 68.0%
    54.08874726624136 examples per second
Step 20200:    (2022-05-09 03:39:09.566612)
    training nat accuracy 96.0%
    training adv accuracy 58.0%
    60.99890429113371 examples per second
Step 20300:    (2022-05-09 03:40:40.765069)
    training nat accuracy 88.0%
    training adv accuracy 66.0%
    54.8434025211673 examples per second
Step 20400:    (2022-05-09 03:42:13.468535)
    training nat accuracy 98.0%
    training adv accuracy 64.0%
    53.9537147310979 examples per second
Step 20500:    (2022-05-09 03:43:36.953427)
    training nat accuracy 98.0%
    training adv accuracy 66.0%
    59.98288416949101 examples per second
Step 20600:    (2022-05-09 03:45:07.574765)
    training nat accuracy 94.0%
    training adv accuracy 60.0%
    55.19247276105327 examples per second
Step 20700:    (2022-05-09 03:46:39.698392)
    training nat accuracy 96.0%
    training adv accuracy 68.0%
    54.294817171983475 examples per second
Step 20800:    (2022-05-09 03:48:03.396094)
    training nat accuracy 100.0%
    training adv accuracy 72.0%
    59.83396015932161 examples per second
Step 20900:    (2022-05-09 03:49:34.456639)
    training nat accuracy 96.0%
    training adv accuracy 66.0%
    54.96861695853956 examples per second
Step 21000:    (2022-05-09 03:51:07.223349)
    training nat accuracy 94.0%
    training adv accuracy 66.0%
    53.917266800708056 examples per second
Step 21100:    (2022-05-09 03:52:30.673895)
    training nat accuracy 94.0%
    training adv accuracy 64.0%
    59.99865170399971 examples per second
Step 21200:    (2022-05-09 03:54:01.727039)
    training nat accuracy 96.0%
    training adv accuracy 66.0%
    54.93164446446339 examples per second
Step 21300:    (2022-05-09 03:55:34.227847)
    training nat accuracy 92.0%
    training adv accuracy 76.0%
    54.07210727406302 examples per second
Step 21400:    (2022-05-09 03:56:56.527078)
    training nat accuracy 94.0%
    training adv accuracy 70.0%
    60.82989687602788 examples per second
Step 21500:    (2022-05-09 03:58:27.247355)
    training nat accuracy 94.0%
    training adv accuracy 76.0%
    55.132246645604035 examples per second
Step 21600:    (2022-05-09 03:59:59.725478)
    training nat accuracy 90.0%
    training adv accuracy 56.0%
    54.0858105364273 examples per second
Step 21700:    (2022-05-09 04:01:23.133940)
    training nat accuracy 96.0%
    training adv accuracy 80.0%
    60.02345469700567 examples per second
Step 21800:    (2022-05-09 04:02:54.816768)
    training nat accuracy 98.0%
    training adv accuracy 80.0%
    54.554332516242916 examples per second
Step 21900:    (2022-05-09 04:04:27.115792)
    training nat accuracy 96.0%
    training adv accuracy 80.0%
    54.190141342196895 examples per second
Step 22000:    (2022-05-09 04:05:48.532273)
    training nat accuracy 94.0%
    training adv accuracy 68.0%
    61.57471453457052 examples per second
Step 22100:    (2022-05-09 04:07:20.195844)
    training nat accuracy 96.0%
    training adv accuracy 68.0%
    54.565790843869465 examples per second
Step 22200:    (2022-05-09 04:08:52.527040)
    training nat accuracy 100.0%
    training adv accuracy 72.0%
    54.171235172440824 examples per second
Step 22300:    (2022-05-09 04:10:14.954914)
    training nat accuracy 100.0%
    training adv accuracy 80.0%
    60.75835183813263 examples per second
Step 22400:    (2022-05-09 04:11:46.951097)
    training nat accuracy 98.0%
    training adv accuracy 80.0%
    54.367427184773895 examples per second
Step 22500:    (2022-05-09 04:13:19.375091)
    training nat accuracy 98.0%
    training adv accuracy 72.0%
    54.117859642237555 examples per second
Step 22600:    (2022-05-09 04:14:42.520199)
    training nat accuracy 96.0%
    training adv accuracy 58.0%
    60.221371528636745 examples per second
Step 22700:    (2022-05-09 04:16:13.247944)
    training nat accuracy 94.0%
    training adv accuracy 76.0%
    55.129873921807295 examples per second
Step 22800:    (2022-05-09 04:17:45.757839)
    training nat accuracy 92.0%
    training adv accuracy 60.0%
    54.06700145709121 examples per second
Step 22900:    (2022-05-09 04:19:09.371791)
    training nat accuracy 94.0%
    training adv accuracy 70.0%
    59.891516810082045 examples per second
Step 23000:    (2022-05-09 04:20:41.131313)
    training nat accuracy 92.0%
    training adv accuracy 70.0%
    54.50918514019059 examples per second
Step 23100:    (2022-05-09 04:22:13.851518)
    training nat accuracy 94.0%
    training adv accuracy 72.0%
    53.986958832286845 examples per second
Step 23200:    (2022-05-09 04:23:37.636733)
    training nat accuracy 96.0%
    training adv accuracy 76.0%
    59.75883283682688 examples per second
Step 23300:    (2022-05-09 04:25:09.572640)
    training nat accuracy 96.0%
    training adv accuracy 82.0%
    54.40281809833503 examples per second
Step 23400:    (2022-05-09 04:26:42.223382)
    training nat accuracy 96.0%
    training adv accuracy 76.0%
    53.984423254101216 examples per second
Step 23500:    (2022-05-09 04:28:06.889378)
    training nat accuracy 94.0%
    training adv accuracy 78.0%
    59.14063056127887 examples per second
Step 23600:    (2022-05-09 04:29:39.252662)
    training nat accuracy 98.0%
    training adv accuracy 80.0%
    54.151943851618675 examples per second
Step 23700:    (2022-05-09 04:31:11.830415)
    training nat accuracy 96.0%
    training adv accuracy 80.0%
    54.027280076787505 examples per second
Step 23800:    (2022-05-09 04:32:35.219703)
    training nat accuracy 96.0%
    training adv accuracy 80.0%
    60.04698203775833 examples per second
Step 23900:    (2022-05-09 04:34:06.643810)
    training nat accuracy 98.0%
    training adv accuracy 74.0%
    54.70805935348237 examples per second
Step 24000:    (2022-05-09 04:35:39.068354)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    54.1169097650119 examples per second
Step 24100:    (2022-05-09 04:37:01.919494)
    training nat accuracy 96.0%
    training adv accuracy 74.0%
    60.44143231333556 examples per second
Step 24200:    (2022-05-09 04:38:33.368121)
    training nat accuracy 94.0%
    training adv accuracy 86.0%
    54.73352471926968 examples per second
Step 24300:    (2022-05-09 04:40:06.043369)
    training nat accuracy 94.0%
    training adv accuracy 74.0%
    53.97061582516474 examples per second
Step 24400:    (2022-05-09 04:41:28.909084)
    training nat accuracy 90.0%
    training adv accuracy 72.0%
    60.43062971881681 examples per second
Step 24500:    (2022-05-09 04:43:00.003080)
    training nat accuracy 92.0%
    training adv accuracy 74.0%
    54.90745154526804 examples per second
Step 24600:    (2022-05-09 04:44:32.831808)
    training nat accuracy 100.0%
    training adv accuracy 82.0%
    53.881709640534304 examples per second
Step 24700:    (2022-05-09 04:45:56.599512)
    training nat accuracy 98.0%
    training adv accuracy 78.0%
    59.773683861767225 examples per second
Step 24800:    (2022-05-09 04:47:27.405505)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    55.080556112477254 examples per second
Step 24900:    (2022-05-09 04:48:59.959035)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.04172684080728 examples per second
Step 25000:    (2022-05-09 04:50:23.601659)
    training nat accuracy 92.0%
    training adv accuracy 78.0%
    59.870323412088005 examples per second
Step 25100:    (2022-05-09 04:51:54.192738)
    training nat accuracy 96.0%
    training adv accuracy 76.0%
    55.217100544420425 examples per second
Step 25200:    (2022-05-09 04:53:26.891366)
    training nat accuracy 98.0%
    training adv accuracy 80.0%
    53.95671830774811 examples per second
Step 25300:    (2022-05-09 04:54:50.349277)
    training nat accuracy 100.0%
    training adv accuracy 82.0%
    60.03420469750136 examples per second
Step 25400:    (2022-05-09 04:56:21.191013)
    training nat accuracy 94.0%
    training adv accuracy 78.0%
    55.05953222970325 examples per second
Step 25500:    (2022-05-09 04:57:53.783592)
    training nat accuracy 94.0%
    training adv accuracy 80.0%
    54.01872724385201 examples per second
Step 25600:    (2022-05-09 04:59:16.728981)
    training nat accuracy 100.0%
    training adv accuracy 76.0%
    60.37232950036294 examples per second
Step 25700:    (2022-05-09 05:00:47.667821)
    training nat accuracy 96.0%
    training adv accuracy 74.0%
    55.00076293542712 examples per second
Step 25800:    (2022-05-09 05:02:20.088391)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.11955965042115 examples per second
Step 25900:    (2022-05-09 05:03:43.495110)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    60.027728266615526 examples per second
Step 26000:    (2022-05-09 05:05:14.741304)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    54.81440397381255 examples per second
Step 26100:    (2022-05-09 05:06:47.471959)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    53.93860820950471 examples per second
Step 26200:    (2022-05-09 05:08:10.056431)
    training nat accuracy 96.0%
    training adv accuracy 78.0%
    60.627888487726 examples per second
Step 26300:    (2022-05-09 05:09:41.028718)
    training nat accuracy 98.0%
    training adv accuracy 82.0%
    54.97978997282532 examples per second
Step 26400:    (2022-05-09 05:11:13.804613)
    training nat accuracy 98.0%
    training adv accuracy 82.0%
    53.949655365111006 examples per second
Step 26500:    (2022-05-09 05:12:35.875090)
    training nat accuracy 96.0%
    training adv accuracy 78.0%
    61.01596982031839 examples per second
Step 26600:    (2022-05-09 05:14:05.900218)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    55.55886531600454 examples per second
Step 26700:    (2022-05-09 05:15:38.397479)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    54.07431763434734 examples per second
Step 26800:    (2022-05-09 05:17:01.100605)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    60.549213384762375 examples per second
Step 26900:    (2022-05-09 05:18:32.557471)
    training nat accuracy 96.0%
    training adv accuracy 78.0%
    54.6890662686045 examples per second
Step 27000:    (2022-05-09 05:20:05.041974)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.08204121733171 examples per second
Step 27100:    (2022-05-09 05:21:27.437816)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    60.758043330299635 examples per second
Step 27200:    (2022-05-09 05:22:58.932799)
    training nat accuracy 94.0%
    training adv accuracy 76.0%
    54.6668028953471 examples per second
Step 27300:    (2022-05-09 05:24:31.708288)
    training nat accuracy 96.0%
    training adv accuracy 84.0%
    53.911873371976164 examples per second
Step 27400:    (2022-05-09 05:25:53.814707)
    training nat accuracy 96.0%
    training adv accuracy 78.0%
    60.993321777507134 examples per second
Step 27500:    (2022-05-09 05:27:24.935675)
    training nat accuracy 98.0%
    training adv accuracy 80.0%
    54.92964658170534 examples per second
Step 27600:    (2022-05-09 05:28:57.376134)
    training nat accuracy 100.0%
    training adv accuracy 80.0%
    54.10738492096169 examples per second
Step 27700:    (2022-05-09 05:30:19.895256)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    60.68919294590561 examples per second
Step 27800:    (2022-05-09 05:31:50.535520)
    training nat accuracy 100.0%
    training adv accuracy 82.0%
    55.18153150318317 examples per second
Step 27900:    (2022-05-09 05:33:22.573058)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.34475928502825 examples per second
Step 28000:    (2022-05-09 05:34:46.184600)
    training nat accuracy 92.0%
    training adv accuracy 80.0%
    59.89855748652395 examples per second
Step 28100:    (2022-05-09 05:36:17.249193)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    54.923970163398195 examples per second
Step 28200:    (2022-05-09 05:37:49.324874)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    54.32224855016768 examples per second
Step 28300:    (2022-05-09 05:39:12.305759)
    training nat accuracy 94.0%
    training adv accuracy 74.0%
    60.343624231188954 examples per second
Step 28400:    (2022-05-09 05:40:42.639092)
    training nat accuracy 100.0%
    training adv accuracy 84.0%
    55.36877986011169 examples per second
Step 28500:    (2022-05-09 05:42:14.686920)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.338631858691855 examples per second
Step 28600:    (2022-05-09 05:43:38.876092)
    training nat accuracy 94.0%
    training adv accuracy 78.0%
    59.534033499811876 examples per second
Step 28700:    (2022-05-09 05:45:09.297884)
    training nat accuracy 94.0%
    training adv accuracy 76.0%
    55.31433840228097 examples per second
Step 28800:    (2022-05-09 05:46:41.363576)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.32765817041451 examples per second
Step 28900:    (2022-05-09 05:48:04.409183)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    60.293847658942745 examples per second
Step 29000:    (2022-05-09 05:49:35.813032)
    training nat accuracy 98.0%
    training adv accuracy 80.0%
    54.71926546323064 examples per second
Step 29100:    (2022-05-09 05:51:07.832361)
    training nat accuracy 98.0%
    training adv accuracy 80.0%
    54.35559253241564 examples per second
Step 29200:    (2022-05-09 05:52:31.196713)
    training nat accuracy 96.0%
    training adv accuracy 78.0%
    60.072741558546724 examples per second
Step 29300:    (2022-05-09 05:54:02.653953)
    training nat accuracy 100.0%
    training adv accuracy 76.0%
    54.688297165911294 examples per second
Step 29400:    (2022-05-09 05:55:34.826759)
    training nat accuracy 98.0%
